model_name,series,launch_year,launch_price_inr,ram_gb,storage_gb,chipset,rear_camera_mp,battery_mah,screen_size_inch,refresh_rate_hz,charging_w,segment,spec_source,price_inr,price_source,camera_score,performance_score,battery_score,value_score,image_ref
Galaxy S24,S,2024,87559,8,256,Exynos 2400,50,4000,6.2,120,25,business,real,40500,depreciation_model,7.8,7.9,5.6,1.9,placeholder:S:Galaxy S24
Galaxy S24+,S,2024,107559,8,256,Exynos 2400,50,4900,6.7,120,45,business,real,49700,depreciation_model,7.8,7.9,7.9,1.6,placeholder:S:Galaxy S24+
Galaxy S24 Ultra,S-Ultra,2024,147559,12,256,Snapdragon 8 Gen3,200,5000,6.8,120,45,photography,real,68200,depreciation_model,9.6,8.9,8.1,1.1,placeholder:S-Ultra:Galaxy S24 Ultra
Galaxy S24 FE,S-FE,2024,67559,8,256,Exynos 2400e,50,4700,6.7,120,25,gaming,real,31200,depreciation_model,7.0,7.5,7.0,2.8,placeholder:S-FE:Galaxy S24 FE
Galaxy Z Flip6,Z-Flip,2024,117559,8,256,Snapdragon 8 Gen3,50,4000,6.7,120,25,business,real,54400,depreciation_model,6.8,8.5,5.6,1.1,placeholder:Z-Flip:Galaxy Z Flip6
Galaxy Z Fold6,Z-Fold,2024,172559,8,256,Snapdragon 8 Gen3,50,4400,7.6,120,25,business,real,79800,depreciation_model,7.4,8.5,6.0,0.5,placeholder:Z-Fold:Galaxy Z Fold6
Galaxy S25,S,2025,88559,8,256,Snapdragon 8 Elite,50,4000,6.2,120,25,business,real,60200,depreciation_model,8.0,9.1,5.6,1.0,placeholder:S:Galaxy S25
Galaxy S25+,S,2025,107559,8,256,Snapdragon 8 Elite,50,4900,6.7,120,45,business,real,73100,depreciation_model,8.0,9.1,7.9,0.8,placeholder:S:Galaxy S25+
Galaxy S25 Ultra,S-Ultra,2025,147559,12,256,Snapdragon 8 Elite,200,5000,6.9,120,45,photography,real,100300,depreciation_model,9.8,9.5,8.1,0.5,placeholder:S-Ultra:Galaxy S25 Ultra
Galaxy Z Flip7,Z-Flip,2025,122559,8,256,Snapdragon 8 Elite,50,4300,6.8,120,25,business,real,83300,depreciation_model,7.0,9.1,6.2,0.4,placeholder:Z-Flip:Galaxy Z Flip7
Galaxy Z Fold7,Z-Fold,2025,182559,8,256,Snapdragon 8 Elite,200,4600,8.0,120,25,business,real,124100,depreciation_model,8.4,9.1,6.4,0.0,placeholder:Z-Fold:Galaxy Z Fold7
Galaxy A15 5G,A,2024,14999,6,128,Dimensity 6100+,50,5000,6.5,90,25,budget,real,9600,depreciation_model,5.6,3.3,7.5,8.6,placeholder:A:Galaxy A15 5G
Galaxy A25 5G,A,2024,19999,8,128,Exynos 1280,50,5000,6.5,120,25,budget,real,12800,depreciation_model,5.6,4.4,7.5,6.7,placeholder:A:Galaxy A25 5G
Galaxy A35 5G,A,2024,26999,8,128,Exynos 1380,50,5000,6.6,120,25,business,real,17300,depreciation_model,5.6,5.0,7.5,4.8,placeholder:A:Galaxy A35 5G
Galaxy A55 5G,A,2024,35999,8,128,Exynos 1480,50,5000,6.6,120,25,business,real,23000,depreciation_model,5.6,5.4,7.5,3.5,placeholder:A:Galaxy A55 5G
Galaxy M15 5G,M,2024,12999,6,128,Dimensity 6100+,50,6000,6.5,90,25,budget,real,9400,depreciation_model,5.0,3.3,9.5,9.6,placeholder:M:Galaxy M15 5G
Galaxy M35 5G,M,2024,18999,8,128,Exynos 1380,50,6000,6.6,120,25,budget,real,13700,depreciation_model,5.0,5.0,9.5,7.0,placeholder:M:Galaxy M35 5G
Galaxy M55 5G,M,2024,26999,8,128,Snapdragon 7 Gen1,50,5000,6.7,120,45,gaming,real,19500,depreciation_model,5.0,6.1,8.1,4.5,placeholder:M:Galaxy M55 5G
Galaxy F15 5G,F,2024,12499,6,128,Dimensity 6100+,50,6000,6.5,90,25,budget,real,9000,depreciation_model,4.8,3.3,9.5,10.0,placeholder:F:Galaxy F15 5G
Galaxy F55 5G,F,2024,26999,8,128,Snapdragon 7 Gen1,50,5000,6.7,120,45,gaming,real,19500,depreciation_model,4.8,6.1,8.1,4.4,placeholder:F:Galaxy F55 5G
Galaxy A16 5G,A,2025,16999,6,128,Dimensity 6300,50,5000,6.7,90,25,budget,real,13600,depreciation_model,5.8,3.5,7.5,5.9,placeholder:A:Galaxy A16 5G
Galaxy A26 5G,A,2025,21999,8,128,Exynos 1380,50,5000,6.7,120,25,budget,real,17600,depreciation_model,5.8,5.0,7.5,4.8,placeholder:A:Galaxy A26 5G
Galaxy A36 5G,A,2025,26999,8,128,Snapdragon 6 Gen 3,50,5000,6.7,120,45,business,real,21600,depreciation_model,5.8,5.2,8.1,3.9,placeholder:A:Galaxy A36 5G
Galaxy A56 5G,A,2025,35999,8,128,Exynos 1580,50,5000,6.7,120,45,business,real,28800,depreciation_model,5.8,5.8,8.1,2.8,placeholder:A:Galaxy A56 5G
Galaxy M16 5G,M,2025,13999,6,128,Dimensity 6300,50,6000,6.7,90,25,budget,real,11900,depreciation_model,5.2,3.5,9.5,7.6,placeholder:M:Galaxy M16 5G
Galaxy M56 5G,M,2025,27999,8,128,Exynos 1580,50,5000,6.7,120,45,gaming,real,23800,depreciation_model,5.2,5.8,8.1,3.5,placeholder:M:Galaxy M56 5G
Galaxy F16 5G,F,2025,13499,6,128,Dimensity 6300,50,6000,6.7,90,25,budget,real,11500,depreciation_model,5.0,3.5,9.5,7.8,placeholder:F:Galaxy F16 5G
Galaxy S26,S,2026,87999,12,256,Exynos 2600,50,4300,6.3,120,25,business,real,87999,launch_msrp,8.2,9.3,6.2,0.4,placeholder:S:Galaxy S26
Galaxy S26+,S,2026,119999,12,256,Exynos 2600,50,4900,6.7,120,45,business,real,119999,launch_msrp,8.2,9.3,7.9,0.1,placeholder:S:Galaxy S26+
Galaxy S26 Ultra,S-Ultra,2026,139999,12,256,Snapdragon 8 Elite Gen 5,200,5000,6.9,120,60,photography,real,139999,launch_msrp,10.0,10.0,8.1,0.0,placeholder:S-Ultra:Galaxy S26 Ultra
Galaxy A57 5G,A,2026,46990,8,128,Exynos 1680,50,5000,6.7,120,45,business,real,46990,launch_msrp,6.0,6.0,8.1,1.3,placeholder:A:Galaxy A57 5G
Galaxy A17 5G,A,2026,20990,4,128,Exynos 1330,50,5000,6.7,90,25,budget,real,20990,launch_msrp,6.0,4.2,7.5,3.7,placeholder:A:Galaxy A17 5G
Galaxy F06,F,2026,9999,4,64,Dimensity 6300,50,5000,6.7,90,25,budget,real,9999,launch_msrp,5.2,3.5,7.5,8.1,placeholder:F:Galaxy F06
Galaxy F17,F,2026,13499,4,128,Exynos 1330,50,5000,6.7,90,25,budget,real,13499,launch_msrp,5.2,4.2,7.5,6.0,placeholder:F:Galaxy F17
Galaxy M16,M,2026,14999,4,128,Dimensity 6300,50,5000,6.7,90,25,budget,real,14999,launch_msrp,5.4,3.5,7.5,5.1,placeholder:M:Galaxy M16
Galaxy M47 5G,M,2026,23999,6,128,Snapdragon 6 Gen 3,50,6000,6.7,120,45,gaming,real,23999,launch_msrp,5.4,5.0,10.0,3.7,placeholder:M:Galaxy M47 5G
